ID,Orgname,City,Zip
463433,Acero Charter School Network,CHICAGO,60610
463436,Fitness Instructor,CHICAGO,60647
463437,ETS Technology Solutions,DES PLAINES,60016
463440,Addison Group,CHICAGO,60607
463441,SB Friedman & Co                                  ,CHICAGO,60614
463442,Mondelez International,CHICAGO,60622
463443,Superior Air-Ground Ambulance Service,CHICAGO,60657
463444,Jamf,NAPERVILLE,60564
463446,Consultant,ELBURN,60119
463447,Exp Us Services,CHICAGO,60616
463448,Kellogg,PALOS HEIGHTS,60463
463457,North Shore Senior Center,EVANSTON,60201
463467,Illinois Attorney General's Office,CHICAGO,60622
463468,Florida State College of Jacksonville,CHICAGO,60611
463481,Loyola University,CHICAGO,60611
463483,Lake County Forest Preserves,LAKE BLUFF,60044
463490,Dairy Queen,CHICAGO,60657
463495,Great Books Foundation,CHICAGO,60605
463500,Lake Zurich High School,MT PROSPECT,60056
463502,Livingston International,WEST CHICAGO,60185
463513,Wound Care Solutions,CHICAGO,60616
463515,Alliance Partners,CHICAGO,60657
463539,White & Case,CHICAGO,60622
46354,Team Hagerty,MUNDELEIN,60060
463549,Hyatt Hotels,CHICAGO,60645
463552,Medline Industries,VERNON HILLS,60061
463563,Stanleyblackanddecker,INVERNESS,60067
463566,Partyslate,CHICAGO,60622
463570,Kivvit,CHICAGO,60614
463573,US Dept of Homeland Security,SWANSEA,62226
463576,Meltwater,NAPERVILLE,60563
463577,Wooff Realtors,GODFREY,62035
463579,Coyote Logistics,EVANSTON,60202
463585,Gallery Guichard,CHICAGO,60653
463587,Film Producer,BARRINGTON,60010
463588,Northwest Medicine,DEKALB,60115
463595,Travelers,NORTHBROOK,60062
463596,Press Ganey Assoc,CHICAGO,60614
463601,Programmer,CHICAGO,60613
463603,Frigo & Co,DEERFIELD,60015
463605,Music Teacher,GLEN ELLYN,60137
463607,Bloom Field Club,WHEATON,60187
463608,Personal Trainer,LA GRANGE,60525
463609,Comcast Corp,CHICAGO,60601
46361,Team Graham,ALGONQUIN,60102
463611,Hayden Real Estate,ROCHELLE,61068
463612,Ch2m Hill Engineers,WILMETTE,60091
463625,University of Chicago Medicine,CHICAGO,60607
463634,Hannigan & Botha,CHICAGO,60647
463635,Dunlap Codding,FLOSSMOOR,60422
463637,Children's Hospital,CHICAGO,60614
463647,Navistar Defense,NORTH AURORA,60542
463674,Sasser Consulting,PARK RIDGE,60068
463676,Writer,LA GRANGE PARK,60526
463678,Three Rivers Community Action,ROCKFORD,61108
463680,Equifax Inc,CHICAGO,60615
463686,City of Chicago Fire Dept,CHICAGO,60646
463693,Chicago Transit Authority,EVERGREEN PARK,60805
